gender,age,course,b,c,p,time,M
2,19,1,25,18,24,1,84
1,18,1,18,18,22,1,76
2,18,1,16,21,19,1,76
2,19,1,16,19,22,1,82
2,18,1,17,13,20,1,62
2,20,1,11,12,14,1,54
2,18,1,7,17,18,1,66
1,18,1,11,16,20,1,68
2,18,1,15,18,20,1,72
2,19,1,22,17,20,1,74
2,20,1,19,14,23,1,77
2,19,1,19,13,25,1,76
1,,1,21,16,23,1,3
2,20,1,15,17,19,1,75
1,33,1,23,18,24,1,142
1,20,1,21,15,25,1,84
2,19,1,17,18,24,1,84
2,20,1,22,20,23,1,90
1,33,1,23,20,24,1,149
2,17,1,13,21,16,1,66
2,27,1,17,9,22,1,86
2,20,1,10,8,12,1,42
2,19,1,24,24,25,1,98
2,18,1,20,19,21,1,76
2,19,1,23,13,24,1,74
1,25,1,25,23,26,1,127
2,19,1,13,23,19,1,84
2,22,1,12,19,22,1,94
2,26,1,16,16,19,1,94
2,26,1,17,18,18,1,97
2,20,1,12,19,20,1,81
2,38,1,14,14,22,1,140
2,18,1,9,20,19,1,74
1,19,1,19,15,23,1,76
2,38,1,18,20,22,1,163
2,17,1,22,16,23,1,70
1,18,1,11,18,16,1,64
2,20,1,23,28,26,1,113
2,19,1,18,19,23,1,84
2,24,1,12,13,20,1,82
2,19,1,24,19,26,1,90
2,24,1,17,18,23,1,102
2,22,1,18,16,16,1,73
2,19,1,23,16,22,1,76
2,18,1,24,26,24,1,95
2,19,1,11,17,16,1,66
2,18,1,15,19,19,1,72
2,19,1,23,21,28,1,98
2,18,1,13,17,20,1,70
2,,1,20,20,23,1,4
2,38,1,14,13,23,1,140
1,30,1,18,16,20,1,111
2,19,1,18,17,22,1,78
1,18,1,14,9,17,1,49
2,19,1,22,14,23,1,74
2,24,1,13,8,22,1,75
2,20,1,22,23,24,1,98
2,22,1,18,15,21,1,82
1,24,1,23,15,24,1,97
2,23,2,20,23,22,1,112
2,18,2,19,25,27,1,104
1,25,2,21,13,23,1,97
2,20,2,11,15,17,1,70
2,19,2,20,23,26,1,102
2,18,2,18,24,25,1,98
2,47,2,23,23,26,1,240
2,20,2,8,23,22,1,99
2,18,2,19,19,21,1,80
1,23,2,21,20,24,1,110
1,27,2,14,16,15,1,89
1,21,2,16,15,23,1,87
2,18,2,15,15,27,1,84
2,18,2,18,16,23,1,78
2,19,2,19,21,20,1,86
2,32,2,13,20,20,1,136
2,19,2,16,17,23,1,84
2,29,2,16,18,22,1,124
2,39,2,21,14,22,1,147
2,18,2,18,21,24,1,90
2,20,2,14,12,12,1,52
2,25,2,19,23,23,1,124
2,41,2,21,15,23,1,163
2,18,2,20,17,20,1,74
2,18,2,11,22,19,1,82
2,50,2,23,24,23,1,244
2,44,2,18,16,23,1,179
2,20,2,19,16,21,1,81
2,18,2,17,25,26,1,102
2,18,2,20,17,22,1,78
2,18,2,21,17,23,1,80
2,29,2,20,13,23,1,111
2,44,2,18,13,20,1,151
2,40,3,15,18,27,1,193
1,19,3,23,14,21,1,77
2,18,3,18,18,21,1,81
1,18,3,23,19,24,1,90
2,19,3,16,20,17,1,81
2,18,3,21,21,24,1,94
2,18,3,21,20,24,1,92
1,18,3,22,8,21,1,60
2,,3,26,17,27,1,13
2,30,3,17,19,20,1,128
2,40,3,16,24,26,1,215
2,23,3,24,17,25,1,109
2,21,3,17,25,18,1,103
2,19,4,15,23,27,1,115
2,36,4,21,18,25,1,172
2,23,4,14,24,22,1,124
2,31,4,19,19,28,1,164
1,29,4,18,16,24,1,132
2,27,4,16,21,20,1,127
2,18,4,15,16,23,1,85
2,22,4,17,15,19,1,88
2,30,4,23,25,24,1,166
2,18,4,17,18,21,1,85
2,23,4,14,21,23,1,118
2,20,4,9,11,16,1,64
2,33,4,18,21,19,1,148
1,19,4,21,17,21,1,87
2,18,4,18,21,23,1,96
2,18,4,17,19,24,1,94
2,18,4,11,18,21,1,85
2,18,4,10,8,17,1,55
2,24,4,4,14,20,1,95
2,23,4,16,19,21,1,108
2,20,4,24,12,25,1,88
2,18,4,14,13,20,1,72
2,21,4,15,22,26,1,120
2,18,4,21,17,24,1,90
2,18,4,14,24,24,1,105
2,18,4,20,14,26,1,88
2,24,4,20,16,26,1,117
1,35,4,27,21,24,1,175
1,25,4,14,8,17,1,72
2,,4,7,16,18,1,13
2,22,4,13,6,15,1,54
2,20,4,17,11,23,1,81
2,27,1,14,24,20,2,123
2,28,3,18,24,22,2,142
2,19,1,12,8,22,2,60
2,25,2,22,20,24,2,118
2,18,2,19,18,23,2,82
2,18,2,14,23,27,2,100
2,1,2,24,22,22,2,13
1,35,4,24,19,26,2,175
2,18,4,18,17,21,2,83
2,19,4,8,8,22,2,69
2,19,2,26,27,28,2,115
2,32,4,13,21,28,2,176
2,,3,22,19,24,2,12
2,18,2,19,20,27,2,94
2,36,1,24,24,26,2,185
2,31,4,16,24,26,2,175
2,19,4,21,23,26,2,112
1,19,4,17,10,20,2,69
2,19,4,18,9,20,2,66
2,20,4,12,17,23,2,96
2,20,4,16,23,25,2,115
2,29,2,12,19,20,2,120
2,29,2,14,17,21,2,117
2,38,1,19,24,11,2,136
2,18,1,18,20,13,2,62
2,29,1,26,17,12,2,87
2,19,1,20,16,9,2,50
2,24,4,10,20,7,2,75
2,19,1,19,20,13,2,66
1,19,4,18,24,7,2,71
2,19,2,17,24,13,2,77
2,20,1,25,23,13,2,75
2,20,1,13,21,11,2,67
2,24,1,8,17,11,2,70
1,33,1,14,16,11,2,91
2,27,4,8,11,5,2,49
2,18,4,28,22,25,2,103
2,20,4,26,24,21,2,108
2,20,4,15,23,15,2,91
2,19,1,9,17,21,2,76
2,19,4,28,19,16,2,80
2,19,1,13,24,21,2,90
2,30,1,11,20,8,2,86
2,23,1,11,16,9,2,60
2,18,1,17,21,4,2,47
2,23,1,17,23,22,2,108
2,18,1,25,26,21,2,89
2,19,1,21,21,15,2,72
2,19,4,19,20,16,2,82
2,22,1,21,16,12,2,64
2,19,1,20,23,19,2,84
2,47,4,18,12,9,2,107
2,19,1,13,18,11,2,58
2,47,1,12,12,7,2,91
2,32,4,16,27,4,2,111
2,19,4,25,23,19,2,96
2,19,1,23,18,12,2,60
1,19,1,8,24,8,2,64
2,41,1,16,22,10,2,134
1,18,3,14,26,9,2,73
2,,4,24,19,16,2,14
2,35,1,16,16,16,2,115
2,19,1,6,21,7,2,56
2,18,1,20,17,12,2,55
2,18,1,17,21,12,2,62
2,25,1,14,13,9,2,57
2,19,1,10,21,11,2,64
2,27,4,16,16,16,2,99
2,33,1,4,26,6,2,108
3,18,4,26,28,24,2,114
2,23,4,23,23,17,2,108
2,36,1,18,22,13,2,129
2,18,1,25,25,16,2,77
1,30,1,14,19,13,2,99
1,18,1,22,27,18,2,85
2,18,1,14,15,11,2,49
2,21,1,11,8,4,2,26
2,21,1,15,21,17,2,83
1,24,1,17,21,20,2,102
1,18,1,21,22,17,2,74
2,18,4,16,19,4,2,50
2,18,1,16,19,12,2,58
2,20,1,16,19,15,2,71
2,19,1,11,24,19,2,86
2,19,1,24,22,12,2,68
1,26,1,8,21,6,2,72
2,18,1,8,24,21,2,85
2,20,3,15,17,18,2,80
2,19,1,20,16,9,2,50
